Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,PR AUC,Inference Time (ms/sample)
CICIDS2017,Decision_Tree,0.9615220617079702,0.9512992428032956,0.9728466655295923,0.9619523054609236,0.9824039880263236,0.9709342516489207,0.0
CICIDS2017,Logistic_Regression,0.6339308556906755,0.696653977158886,0.4744328841889818,0.5644595060776396,0.7436364442741548,0.7111536257310622,0.0
CICIDS2017,Neural_Network,0.9503504971772612,0.9376160169716256,0.9648985161180283,0.9510616478657767,0.986469847272489,0.9852893719958283,0.0015525814943267568
CICIDS2017,Random_Forest,0.9869522948610803,0.9814502529510961,0.9926658707146512,0.987026201984228,0.9983523697864322,0.9983089859698518,0.00290818128289617
CICIDS2017,XGBoost,0.9681908887789736,0.9641214662518599,0.9725737676957189,0.9683291728225245,0.9960736290056998,0.9958614984490888,0.0009637265196355836
DNS-Reflection-DDoS,Decision_Tree,0.9309500489715965,0.8852889667250438,0.990205680705191,0.9348127600554785,0.94564152791381,0.9050212755825978,0.0
DNS-Reflection-DDoS,Logistic_Regression,0.60871694417238,0.561529933481153,0.9921645445641528,0.7171681415929203,0.7885717273207788,0.7368935392629812,0.0
DNS-Reflection-DDoS,Neural_Network,0.6856023506366308,0.6151975683890577,0.9911851126346719,0.7591897974493623,0.7852794546645806,0.7349606222512012,0.0017083940496640854
DNS-Reflection-DDoS,Random_Forest,0.9329089128305583,0.8856893542757417,0.9941234084231146,0.9367789570835257,0.9468751708729799,0.9086511665526467,0.015206481754254406
DNS-Reflection-DDoS,XGBoost,0.9338883447600391,0.8858885017421603,0.9960822722820764,0.9377593360995851,0.9455086666775386,0.9069574072897628,0.0013320849994954587
UNSW-NB15,Decision_Tree,0.8816194331983805,0.9513019952654718,0.8273529411764706,0.8850086518798175,0.9579655107313195,0.9573473139606179,0.0
UNSW-NB15,Logistic_Regression,0.7422267206477733,0.7266119431042045,0.8526470588235294,0.7846002909435367,0.8313637586115528,0.8290462247665299,5.6361379893685165e-05
UNSW-NB15,Neural_Network,0.8344534412955465,0.922223208736571,0.76375,0.8355387523629489,0.9321236287758347,0.9452217508423626,0.0007564818810837471
UNSW-NB15,Random_Forest,0.9089473684210526,0.9664666721459686,0.8646323529411765,0.9127178173632942,0.9766056869369371,0.9824195098918327,0.003765797325474048
UNSW-NB15,XGBoost,0.9068825910931174,0.9608482871125612,0.8661764705882353,0.9110595514307811,0.9755408485691573,0.9812742026723681,0.001696787382427015
